Country,Case def,Total cases,Date,,,,,
Liberia,All,378,2015-09-09,,,,,
Mali,All,2,2015-09-09,,,,,
Nigeria,All,11,2015-09-09,,,,,
Sierra Leone,All,307,2015-09-09,,,,,
Spain,All,1,2015-09-09,,,,,
United Kingdom,All,1,2015-09-09,,,,,
USA,All,3,2015-09-09,,,,,
Guinea,All,196,2015-09-16,,,,,
Liberia,All,378,2015-09-16,,,,,
Mali,All,2,2015-09-16,,,,,
Nigeria,All,11,2015-09-16,,,,,
Sierra Leone,All,307,2015-09-16,,,,,
Spain,All,1,2015-09-16,,,,,
United Kingdom,All,1,2015-09-16,,,,,
USA,All,3,2015-09-16,,,,,
Guinea,All,196,2015-09-23,,,,,
Liberia,All,378,2015-09-23,,,,,
Mali,All,2,2015-09-23,,,,,
Nigeria,All,11,2015-09-23,,,,,
Sierra Leone,All,307,2015-09-23,,,,,
Spain,All,1,2015-09-23,,,,,
United Kingdom,All,1,2015-09-23,,,,,
USA,All,3,2015-09-23,,,,,
Guinea,All,196,2015-09-30,,,,,
Liberia,All,378,2015-09-30,,,,,
Mali,All,2,2015-09-30,,,,,
Nigeria,All,11,2015-09-30,,,,,
Sierra Leone,All,307,2015-09-30,,,,,
Spain,All,1,2015-09-30,,,,,
United Kingdom,All,1,2015-09-30,,,,,
USA,All,3,2015-09-30,,,,,
Guinea,All,196,2015-10-07,,,,,
Liberia,All,378,2015-10-07,,,,,
Mali,All,2,2015-10-07,,,,,
Nigeria,All,11,2015-10-07,,,,,
Sierra Leone,All,307,2015-10-07,,,,,
Spain,All,1,2015-10-07,,,,,
United Kingdom,All,1,2015-10-07,,,,,
USA,All,3,2015-10-07,,,,,
Guinea,All,196,2015-10-14,,,,,
Liberia,All,378,2015-10-14,,,,,
Mali,All,2,2015-10-14,,,,,
Nigeria,All,11,2015-10-14,,,,,
Sierra Leone,All,307,2015-10-14,,,,,
Spain,All,1,2015-10-14,,,,,
United Kingdom,All,1,2015-10-14,,,,,
USA,All,3,2015-10-14,,,,,
Guinea,All,196,2015-10-21,,,,,
Liberia,All,378,2015-10-21,,,,,
Mali,All,2,2015-10-21,,,,,
Nigeria,All,11,2015-10-21,,,,,
Sierra Leone,All,307,2015-10-21,,,,,
Spain,All,1,2015-10-21,,,,,
United Kingdom,All,1,2015-10-21,,,,,
USA,All,3,2015-10-21,,,,,
Guinea,All,196,2015-10-28,,,,,
Liberia,All,378,2015-10-28,,,,,
Mali,All,2,2015-10-28,,,,,
Nigeria,All,11,2015-10-28,,,,,
Sierra Leone,All,307,2015-10-28,,,,,
Spain,All,1,2015-10-28,,,,,
United Kingdom,All,1,2015-10-28,,,,,
USA,All,3,2015-10-28,,,,,
Guinea,All,196,2015-11-04,,,,,
Liberia,All,378,2015-11-04,,,,,
Mali,All,2,2015-11-04,,,,,
Nigeria,All,11,2015-11-04,,,,,
Sierra Leone,All,307,2015-11-04,,,,,
Spain,All,1,2015-11-04,,,,,
United Kingdom,All,1,2015-11-04,,,,,
USA,All,3,2015-11-04,,,,,
